"Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Born","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90","GA","GA90","SoTA","Saves","Save_percent","W","D","L","CS","CS_percent","PKatt_Penalty","PKA_Penalty","PKsv_Penalty","PKm_Penalty","Save_percent_Penalty","Url"
2025,"Alavés","La Liga","Antonio Sivera","ESP","GK","28-067",1996,9,9,810,9,15,1.67,41,26,68.3,3,1,5,2,22.2,2,2,0,0,0,"https://fbref.com/en/players/9970da54/Antonio-Sivera"
2025,"Angers","Ligue 1","Yahia Fofana","CIV","GK","24-057",2000,7,7,630,7,13,1.86,40,27,67.5,0,3,4,0,0,0,0,0,0,NA,"https://fbref.com/en/players/9d420dad/Yahia-Fofana"
2025,"Arsenal","Premier League","David Raya","ESP","GK","29-032",1995,7,7,630,7,6,0.86,31,25,80.6,5,2,0,3,42.9,0,0,0,0,NA,"https://fbref.com/en/players/98ea5115/David-Raya"
2025,"Aston Villa","Premier League","Emiliano Martínez","ARG","GK","32-045",1992,7,7,630,7,9,1.29,25,16,68,4,2,1,1,14.3,1,1,0,0,0,"https://fbref.com/en/players/7956236f/Emiliano-Martinez"
2025,"Atalanta","Serie A","Marco Carnesecchi","ITA","GK","24-108",2000,6,6,540,6,13,2.17,25,14,48,2,1,3,0,0,0,0,0,0,NA,"https://fbref.com/en/players/8ec56e62/Marco-Carnesecchi"
2025,"Atalanta","Serie A","Juan Musso","ARG","GK","30-164",1994,1,1,90,1,0,0,4,4,100,1,0,0,1,100,0,0,0,0,NA,"https://fbref.com/en/players/a111cf41/Juan-Musso"
2025,"Athletic Club","La Liga","Julen Agirrezabala","ESP","GK","23-296",2000,6,6,486,5.4,4,0.74,13,9,76.9,4,1,1,2,33.3,1,1,0,0,0,"https://fbref.com/en/players/a2c1a8d3/Julen-Agirrezabala"
2025,"Athletic Club","La Liga","Alex Padilla","ESP","GK","21-046",2003,5,3,321,3.6,6,1.68,17,12,70.6,0,1,2,0,0,1,1,0,0,0,"https://fbref.com/en/players/a275838a/Alex-Padilla"
2025,"Atlético Madrid","La Liga","Juan Musso","ARG","GK","30-164",1994,1,1,90,1,0,0,1,1,100,1,0,0,1,100,0,0,0,0,NA,"https://fbref.com/en/players/a111cf41/Juan-Musso"
2025,"Atlético Madrid","La Liga","Jan Oblak","SVN","GK","31-284",1993,8,8,720,8,5,0.62,28,24,82.1,3,5,0,4,50,0,0,0,0,NA,"https://fbref.com/en/players/ee8508c0/Jan-Oblak"
2025,"Augsburg","Bundesliga","Nediljko Labrović","CRO","GK","25-007",1999,6,6,540,6,15,2.5,29,14,51.7,2,1,3,0,0,1,1,0,0,0,"https://fbref.com/en/players/208fc867/Nediljko-Labrovic"
2025,"Auxerre","Ligue 1","Donovan Léon","GUF","GK","31-349",1992,7,7,630,7,15,2.14,37,23,62.2,2,0,5,1,14.3,1,1,0,0,0,"https://fbref.com/en/players/51c83a90/Donovan-Leon"
2025,"Barcelona","La Liga","Iñaki Peña","ESP","GK","25-229",1999,4,3,316,3.5,4,1.14,9,5,66.7,2,0,1,2,66.7,1,1,0,0,0,"https://fbref.com/en/players/cc1c5035/Inaki-Pena"
2025,"Barcelona","La Liga","Marc-André ter Stegen","GER","GK","32-170",1992,6,6,494,5.5,5,0.91,15,10,73.3,6,0,0,1,16.7,1,1,0,0,0,"https://fbref.com/en/players/6f51e382/Marc-Andre-ter-Stegen"
2025,"Bayern Munich","Bundesliga","Manuel Neuer","GER","GK","38-204",1986,5,5,450,5,7,1.4,12,5,50,3,2,0,1,20,2,1,0,1,0,"https://fbref.com/en/players/8778c910/Manuel-Neuer"
2025,"Bayern Munich","Bundesliga","Sven Ulreich","GER","GK","36-075",1988,1,1,90,1,0,0,0,0,NA,1,0,0,1,100,0,0,0,0,NA,"https://fbref.com/en/players/7d3e7da6/Sven-Ulreich"
2025,"Betis","La Liga","Rui Silva","POR","GK","30-253",1994,9,9,810,9,8,0.89,29,21,79.3,3,3,3,3,33.3,2,2,0,0,0,"https://fbref.com/en/players/ea83bfa6/Rui-Silva"
2025,"Bochum","Bundesliga","Patrick Drewes","GER","GK","31-256",1993,6,6,540,6,14,2.33,33,18,60.6,0,1,5,0,0,2,1,1,0,50,"https://fbref.com/en/players/a8403737/Patrick-Drewes"
2025,"Bologna","Serie A","Federico Ravaglia","ITA","GK","24-341",1999,2,2,180,2,1,0.5,5,4,80,1,1,0,1,50,0,0,0,0,NA,"https://fbref.com/en/players/6662d731/Federico-Ravaglia"
2025,"Bologna","Serie A","Łukasz Skorupski","POL","GK","33-165",1991,5,5,450,5,8,1.6,17,9,52.9,0,4,1,0,0,1,0,1,0,100,"https://fbref.com/en/players/ab4449d6/Lukasz-Skorupski"
2025,"Bournemouth","Premier League","Kepa Arrizabalaga","ESP","GK","30-014",1994,4,4,360,4,7,1.75,25,18,72,2,0,2,0,0,0,0,0,0,NA,"https://fbref.com/en/players/28d596a0/Kepa-Arrizabalaga"
2025,"Bournemouth","Premier League","Neto","BRA","GK","35-090",1989,2,2,180,2,2,1,13,11,84.6,0,2,0,0,0,0,0,0,0,NA,"https://fbref.com/en/players/a9dc785c/Neto"
2025,"Bournemouth","Premier League","Mark Travers","IRL","GK","25-152",1999,1,1,90,1,1,1,3,2,66.7,0,0,1,0,0,0,0,0,0,NA,"https://fbref.com/en/players/fe558029/Mark-Travers"
2025,"Brentford","Premier League","Mark Flekken","NED","GK","31-126",1993,7,7,630,7,13,1.86,45,33,71.1,3,1,3,0,0,0,0,0,0,NA,"https://fbref.com/en/players/a92ab7be/Mark-Flekken"
2025,"Brest","Ligue 1","Marco Bizot","NED","GK","33-221",1991,7,7,630,7,13,1.86,28,16,64.3,3,0,4,3,42.9,4,3,0,1,0,"https://fbref.com/en/players/3d214e5f/Marco-Bizot"
2025,"Brighton","Premier League","Jason Steele","ENG","GK","34-060",1990,2,2,180,2,1,0.5,4,3,75,2,0,0,1,50,0,0,0,0,NA,"https://fbref.com/en/players/28300a16/Jason-Steele"
2025,"Brighton","Premier League","Bart Verbruggen","NED","GK","22-060",2002,5,5,450,5,9,1.8,20,11,65,1,3,1,1,20,2,2,0,0,0,"https://fbref.com/en/players/cf134113/Bart-Verbruggen"
