"Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Born","Mins_Per_90","GA_Goals","PKA_Goals","FK_Goals","CK_Goals","OG_Goals","PSxG_Expected","PSxG_per_SoT_Expected","PSxG+_per__minus__Expected","_per_90_Expected","Cmp_Launched","Att_Launched","Cmp_percent_Launched","Att_Passes","Thr_Passes","Launch_percent_Passes","AvgLen_Passes","Att_Goal","Launch_percent_Goal","AvgLen_Goal","Opp_Crosses","Stp_Crosses","Stp_percent_Crosses","#OPA_Sweeper","#OPA_per_90_Sweeper","AvgDist_Sweeper","Url","Att (GK)_Passes"
2025,"Alavés","La Liga","Antonio Sivera","ESP","GK","28-067",1996,9,15,2,1,0,0,15.4,0.35,0.4,0.04,83,189,43.9,NA,19,70.9,47.3,67,74.6,55.6,93,3,3.2,8,0.89,16.9,"https://fbref.com/en/players/9970da54/Antonio-Sivera",196
2025,"Angers","Ligue 1","Yahia Fofana","CIV","GK","24-057",2000,7,13,0,0,1,0,13.5,0.34,0.5,0.07,30,84,35.7,NA,34,38.5,34.8,45,48.9,39,88,9,10.2,6,0.86,10.7,"https://fbref.com/en/players/9d420dad/Yahia-Fofana",161
2025,"Arsenal","Premier League","David Raya","ESP","GK","29-032",1995,7,6,0,0,1,0,5.1,0.17,-0.9,-0.13,39,113,34.5,NA,23,40,34.6,40,87.5,58.2,84,11,13.1,7,1,11.5,"https://fbref.com/en/players/98ea5115/David-Raya",195
2025,"Aston Villa","Premier League","Emiliano Martínez","ARG","GK","32-045",1992,7,9,1,0,0,0,8.2,0.3,-0.8,-0.11,34,72,47.2,NA,24,26.4,30.5,31,54.8,44.9,83,9,10.8,8,1.14,13.9,"https://fbref.com/en/players/7956236f/Emiliano-Martinez",208
2025,"Atalanta","Serie A","Marco Carnesecchi","ITA","GK","24-108",2000,6,13,0,0,2,2,9.5,0.41,-1.5,-0.25,16,56,28.6,NA,19,27.1,32.5,32,62.5,46.4,46,3,6.5,11,1.83,18.5,"https://fbref.com/en/players/8ec56e62/Marco-Carnesecchi",133
2025,"Atalanta","Serie A","Juan Musso","ARG","GK","30-164",1994,1,0,0,0,0,0,0.7,0.19,0.7,0.74,4,20,20,NA,4,36.8,33.1,14,92.9,56.9,15,0,0,1,1,17.5,"https://fbref.com/en/players/a111cf41/Juan-Musso",19
2025,"Athletic Club","La Liga","Julen Agirrezabala","ESP","GK","23-296",2000,5.4,4,1,1,1,0,4.7,0.31,0.7,0.14,22,70,31.4,NA,19,37.6,33.8,36,72.2,51.6,67,10,14.9,6,1.11,14.3,"https://fbref.com/en/players/a2c1a8d3/Julen-Agirrezabala",117
2025,"Athletic Club","La Liga","Alex Padilla","ESP","GK","21-046",2003,3.6,6,1,0,1,1,4.8,0.26,-0.2,-0.06,27,78,34.6,NA,15,58.2,41.5,22,95.5,64.5,57,2,3.5,3,0.84,13.4,"https://fbref.com/en/players/a275838a/Alex-Padilla",98
2025,"Atlético Madrid","La Liga","Juan Musso","ARG","GK","30-164",1994,1,0,0,0,0,0,0.1,0.08,0.1,0.08,0,5,0,NA,5,17.6,26.6,11,18.2,24.6,10,1,10,0,0,13.5,"https://fbref.com/en/players/a111cf41/Juan-Musso",17
2025,"Atlético Madrid","La Liga","Jan Oblak","SVN","GK","31-284",1993,8,5,0,0,0,1,5.3,0.19,1.3,0.16,22,61,36.1,NA,34,22.8,30.3,63,42.9,39.8,112,3,2.7,4,0.5,12.9,"https://fbref.com/en/players/ee8508c0/Jan-Oblak",149
