"Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Born","Mins_Per_90","Touches_Touches","Def Pen_Touches","Def 3rd_Touches","Mid 3rd_Touches","Att 3rd_Touches","Att Pen_Touches","Live_Touches","Att_Take","Succ_Take","Succ_percent_Take","Tkld_Take","Tkld_percent_Take","Carries_Carries","TotDist_Carries","PrgDist_Carries","PrgC_Carries","Final_Third_Carries","CPA_Carries","Mis_Carries","Dis_Carries","Rec_Receiving","PrgR_Receiving","Url"
2025,"Alavés","La Liga","Abdel Abqar","MAR","DF","25-221",1999,7.5,289,33,137,139,15,5,289,0,0,NA,0,NA,123,874,552,6,4,0,6,0,119,0,"https://fbref.com/en/players/2bc7f211/Abdel-Abqar"
2025,"Alavés","La Liga","Carlos Benavídez","URU","MF","26-201",1998,2.4,111,7,28,72,14,0,111,2,1,50,1,50,75,382,179,1,1,0,0,0,67,2,"https://fbref.com/en/players/9fb45456/Carlos-Benavidez"
2025,"Alavés","La Liga","Antonio Blanco","ESP","MF","24-086",2000,5.8,264,8,57,157,54,3,264,6,4,66.7,2,33.3,144,644,265,1,7,0,7,7,146,4,"https://fbref.com/en/players/506daeac/Antonio-Blanco"
2025,"Alavés","La Liga","Tomás Conechny","ARG","MF,FW","26-201",1998,4.3,176,4,23,56,97,19,176,3,0,0,3,100,113,471,194,8,8,2,13,3,118,25,"https://fbref.com/en/players/f61143dd/Tomas-Conechny"
2025,"Alavés","La Liga","Moussa Diarra","MLI","DF","23-342",2000,4.2,152,5,55,77,21,2,152,1,0,0,1,100,74,244,88,1,0,0,6,4,74,3,"https://fbref.com/en/players/698f11e3/Moussa-Diarra"
2025,"Alavés","La Liga","Ander Guevara","ESP","MF","27-102",1997,5.4,268,12,55,162,53,4,268,5,3,60,2,40,143,633,335,7,7,0,3,4,155,5,"https://fbref.com/en/players/8e48dc61/Ander-Guevara"
2025,"Alavés","La Liga","Jon Guridi","ESP","MF","29-232",1995,4.2,180,9,33,96,53,9,180,3,2,66.7,1,33.3,100,675,365,9,8,0,6,2,106,12,"https://fbref.com/en/players/4c0a6a48/Jon-Guridi"
2025,"Alavés","La Liga","Joan Jordán","ESP","MF","30-103",1994,2.4,153,4,27,83,45,2,153,1,1,100,0,0,66,238,152,1,2,0,2,0,79,4,"https://fbref.com/en/players/2a0c8ba4/Joan-Jordan"
2025,"Alavés","La Liga","Kiké","ESP","FW","34-327",1989,4.7,122,2,6,56,61,22,122,7,4,57.1,3,42.9,78,240,52,0,1,0,11,8,96,17,"https://fbref.com/en/players/e897d8ba/Kike"
2025,"Alavés","La Liga","Carlos Martín","ESP","FW,MF","22-178",2002,2,64,4,15,28,22,4,64,2,0,0,2,100,31,146,40,3,2,0,4,1,34,6,"https://fbref.com/en/players/64035864/Carlos-Martin"
2025,"Alavés","La Liga","Toni Martínez","ESP","FW","27-109",1997,3,98,4,6,36,57,24,98,1,0,0,1,100,44,175,39,2,2,3,12,1,67,12,"https://fbref.com/en/players/f3945e07/Toni-Martinez"
2025,"Alavés","La Liga","Santiago Mouriño","URU","DF","22-247",2002,2.7,117,15,51,58,11,2,117,2,2,100,0,0,58,532,343,5,3,0,2,1,45,0,"https://fbref.com/en/players/91ee5785/Santiago-Mourino"
2025,"Alavés","La Liga","Hugo Novoa","ESP","DF,FW","21-290",2003,2.5,93,8,26,38,31,1,93,9,3,33.3,5,55.6,46,454,173,6,3,0,6,1,42,9,"https://fbref.com/en/players/5458f670/Hugo-Novoa"
2025,"Alavés","La Liga","Pica","ESP","DF","22-290",2002,1.5,70,12,37,31,2,2,70,0,0,NA,0,NA,39,249,183,1,0,0,0,0,37,0,"https://fbref.com/en/players/9b30eda5/Pica"
2025,"Alavés","La Liga","Abderrahman Rebbach","ALG","FW,MF","26-067",1998,2.3,88,2,13,30,45,12,88,8,3,37.5,4,50,54,302,163,7,2,5,8,4,57,18,"https://fbref.com/en/players/9a796115/Abderrahman-Rebbach"
2025,"Alavés","La Liga","Luis Rioja","ESP","FW","31-001",1993,0.3,15,0,2,4,10,2,15,0,0,NA,0,NA,8,99,71,4,1,2,0,0,10,3,"https://fbref.com/en/players/eb3dd471/Luis-Rioja"
2025,"Alavés","La Liga","Luka Romero","ARG","FW,MF","19-334",2004,1.7,52,0,3,24,26,3,51,3,1,33.3,1,33.3,33,198,66,3,1,1,5,4,34,7,"https://fbref.com/en/players/ca6edaa0/Luka-Romero"
2025,"Alavés","La Liga","Manu Sánchez","ESP","DF","24-054",2000,6.5,319,22,97,140,86,3,319,9,2,22.2,5,55.6,121,801,516,14,6,0,6,5,127,14,"https://fbref.com/en/players/ffacd3d5/Manu-Sanchez"
2025,"Alavés","La Liga","Aleksandar Sedlar","SRB","DF","32-309",1991,4.5,181,17,88,90,3,2,181,1,0,0,1,100,90,484,272,1,2,0,0,0,96,0,"https://fbref.com/en/players/a35134ae/Aleksandar-Sedlar"
2025,"Alavés","La Liga","Antonio Sivera","ESP","GK","28-067",1996,9,286,202,277,10,0,0,286,0,0,NA,0,NA,126,704,471,0,0,0,0,0,97,0,"https://fbref.com/en/players/9970da54/Antonio-Sivera"
2025,"Alavés","La Liga","Stoichkov","ESP","MF,FW","30-347",1993,5.6,217,4,26,99,94,22,217,15,5,33.3,8,53.3,126,650,244,7,4,3,14,5,136,27,"https://fbref.com/en/players/4e257184/Stoichkov"
2025,"Alavés","La Liga","Nahuel Tenaglia","ARG","DF","28-239",1996,6.5,297,24,104,111,83,7,297,5,2,40,2,40,116,818,332,8,8,1,8,2,123,25,"https://fbref.com/en/players/66654daa/Nahuel-Tenaglia"
2025,"Alavés","La Liga","Carlos Vicente","ESP","FW,MF","25-177",1999,7.9,314,7,48,100,169,27,314,30,8,26.7,20,66.7,151,960,496,21,10,5,11,9,161,43,"https://fbref.com/en/players/90df343e/Carlos-Vicente"
2025,"Alavés","La Liga","Asier Villalibre","ESP","FW","27-017",1997,2,48,4,4,25,19,7,47,2,0,0,1,50,27,164,56,2,0,1,5,1,34,9,"https://fbref.com/en/players/57be54ec/Asier-Villalibre"
2025,"Angers","Ligue 1","Himad Abdelli","ALG","MF,FW","24-335",1999,6.9,509,7,66,264,185,16,507,41,12,29.3,29,70.7,276,1721,1010,28,19,8,13,13,361,32,"https://fbref.com/en/players/7978cbf0/Himad-Abdelli"
2025,"Angers","Ligue 1","Jean-Eudes Aholou","CIV","MF","30-211",1994,5.1,280,10,57,173,54,9,280,12,6,50,5,41.7,133,607,345,7,2,1,8,5,186,6,"https://fbref.com/en/players/48b28bfd/Jean-Eudes-Aholou"
2025,"Angers","Ligue 1","Jim Allevinah","GAB","FW","29-233",1995,2.5,101,2,20,45,38,8,101,6,2,33.3,4,66.7,59,373,119,2,4,1,3,4,78,18,"https://fbref.com/en/players/1956b948/Jim-Allevinah"
2025,"Angers","Ligue 1","Carlens Arcus","HAI","DF","28-111",1996,5.3,263,12,91,122,52,2,263,6,3,50,3,50,110,499,206,8,3,0,1,4,141,14,"https://fbref.com/en/players/5e837126/Carlens-Arcus"
2025,"Angers","Ligue 1","Abdoulaye Bamba","CIV","DF","34-175",1990,2.7,106,12,48,53,5,1,106,0,0,NA,0,NA,51,213,67,0,0,0,1,0,53,0,"https://fbref.com/en/players/7fecbcdb/Abdoulaye-Bamba"
2025,"Angers","Ligue 1","Haris Belkebla","ALG","MF","30-263",1994,3.9,200,7,59,121,21,0,200,4,0,0,3,75,98,504,213,1,2,0,7,2,145,4,"https://fbref.com/en/players/2b1bed19/Haris-Belkebla"
2025,"Angers","Ligue 1","Yassin Belkhdim","FRA","MF","22-246",2002,3.2,140,6,42,73,28,5,140,2,1,50,1,50,70,432,185,6,2,0,8,3,81,11,"https://fbref.com/en/players/e21d1928/Yassin-Belkhdim"
2025,"Angers","Ligue 1","Emmanuel Biumla","FRA","DF","19-162",2005,4.1,205,29,129,74,3,2,205,5,3,60,2,40,117,624,373,0,0,0,3,1,137,0,"https://fbref.com/en/players/e5a94f46/Emmanuel-Biumla"
2025,"Angers","Ligue 1","Pierrick Capelle","FRA","MF","37-185",1987,2,98,1,11,63,26,1,98,6,3,50,3,50,37,200,99,3,1,0,4,3,51,6,"https://fbref.com/en/players/79b2399c/Pierrick-Capelle"
2025,"Angers","Ligue 1","Sidiki Cherif","FRA","FW","17-307",2006,3.1,89,0,4,45,41,9,89,11,2,18.2,8,72.7,60,357,169,8,5,3,9,8,66,14,"https://fbref.com/en/players/78430598/Sidiki-Cherif"
2025,"Angers","Ligue 1","Bamba Dieng","SEN","FW","24-208",2000,2.3,65,2,6,19,40,10,65,8,1,12.5,7,87.5,36,125,42,2,1,1,7,2,53,14,"https://fbref.com/en/players/40774c6b/Bamba-Dieng"
2025,"Angers","Ligue 1","Lois Diony","FRA","FW","31-302",1992,0.2,6,0,0,1,5,2,6,0,0,NA,0,NA,4,19,0,0,0,0,2,0,6,2,"https://fbref.com/en/players/4be0b467/Lois-Diony"
2025,"Angers","Ligue 1","Jacques Ekomie","GAB","DF","21-059",2003,2.5,129,3,37,39,53,2,129,7,2,28.6,4,57.1,45,212,100,4,3,0,4,4,58,8,"https://fbref.com/en/players/8d5016e6/Jacques-Ekomie"
2025,"Angers","Ligue 1","Zinedine Ferhat","ALG","FW,MF","31-230",1993,2.3,138,1,9,60,71,7,138,4,4,100,0,0,81,420,125,5,2,2,7,4,102,20,"https://fbref.com/en/players/005c0807/Zinedine-Ferhat"
2025,"Angers","Ligue 1","Yahia Fofana","CIV","GK","24-057",2000,7,235,206,234,1,0,0,235,0,0,NA,0,NA,110,530,294,0,0,0,0,0,85,0,"https://fbref.com/en/players/9d420dad/Yahia-Fofana"
