player_name,player_age,player_market_value_euro
Miroslav Klose,46,1000000.0
Roman Weidenfeller,44,750000.0
Dimitar Berbatov,43,1000000.0
Lúcio,46,200000.0
Tom Starke,43,100000.0
Dedê,46,400000.0
Christoph Metzelder,44,1500000.0
Tomas Rosicky,44,350000.0
Marc Ziegler,48,200000.0
Roque Santa Cruz,43,250000.0
Gerald Asamoah,46,100000.0
Tamás Hajnal,43,100000.0
Sladan Peric,42,200000.0
Sérgio da Silva Pinto,44,150000.0
Fabian Ernst,,1500000.0
Tomas Ujfalusi,46,300000.0
Benjamin Köhler,44,150000.0
Sebastian Kehl,44,1000000.0
Levan Kobiashvili,47,400000.0
Oka Nikolov,50,350000.0
Gerhard Tremmel,46,250000.0
Claudio Pizarro,46,400000.0
Simon Jentzsch,48,300000.0
Martin Stranzl,44,1000000.0
Aleksandr Hleb,43,150000.0
Timo Hildebrand,45,750000.0
Christian Vander,44,100000.0
Martin Petrov,45,400000.0
Ivan Klasnic,44,500000.0
Simon Rolfes,42,2000000.0
Giuseppe Gemiti,43,75000.0
Deniz Baris,47,300000.0
David Jarolim,45,250000.0
Hanno Balitsch,44,200000.0
Selim Teber,43,175000.0
Thorben Marx,,300000.0
Jens Langeneke,47,100000.0
Heinz Müller,46,200000.0
Ugur Inceman,43,50000.0
Christian Weber,41,50000.0
Manuel Friedrich,45,500000.0
Andriy Voronin,45,500000.0
Julian de Guzmán,43,250000.0
Emanuel Pogatetz,41,200000.0
Peer Kluge,44,125000.0
Thomas Kleine,47,250000.0
Sven Neuhaus,46,200000.0
Matthias Lehmann,41,250000.0
Nikolce Noveski,45,500000.0
Christofer Heimeroth,43,100000.0
Raphael Schäfer,45,200000.0
Javier Zanetti,51,1000000.0
Peter Graulund,48,250000.0
Michael Ratajczak,42,50000.0
Clemens Fritz,44,750000.0
Jermaine Jones,43,600000.0
Martin Amedick,42,300000.0
Alou Diarra,43,250000.0
Kevin Kuranyi,42,1250000.0
Steven Cherundolo,45,750000.0
Christian Wetklo,45,50000.0
Guy Demel,43,150000.0
Maik Franz,43,300000.0
Michael Owen,45,1000000.0
Lars Jacobsen,45,500000.0
Cacau,43,350000.0
Mike Hanke,41,1000000.0
Christian Poulsen,44,400000.0
Tim Wiese,43,500000.0
Heiko Butscher,44,200000.0
Wesley Sonck,46,200000.0
Youssef El Akchaoui,43,350000.0
Alexander Meier,41,300000.0
Stefan Reisinger,43,500000.0
Andreas Wolf,42,500000.0
Thomas Hitzlsperger,42,1000000.0
Christian Schulz,41,100000.0
Mario Eggimann,,400000.0
Morten Rasmussen,39,50000.0
Vivian,42,100000.0
Dennis Kruppke,44,400000.0
Sascha Riether,41,300000.0
Diego Benaglio,41,250000.0
Milorad Pekovic,47,150000.0
David Odonkor,40,500000.0
Jesper Christiansen,46,50000.0
Heiko Westermann,41,400000.0
Patrick Platins,41,250000.0
Du-ri Cha,44,825000.0
René Adler,39,500000.0
Halil Altintop,42,200000.0
Hamit Altintop,42,300000.0
Ali Bilgin,43,175000.0
Ahmet Cebe,41,50000.0
Deniz Dogan,,75000.0
Markus Feulner,42,100000.0
Philipp Haastrup,42,100000.0
Nelson Valdez,41,100000.0
Mladen Kascelan,41,25000.0
Erdal Kilicaslan,40,400000.0
Oliver Kirch,42,500000.0
Patric Klandt,41,50000.0
Lukas Kruse,41,100000.0
Philipp Lahm,41,11000000.0
Christian Lell,40,800000.0
Markus Miller,42,300000.0
Zvjezdan Misimovic,42,700000.0
Marcel Ndjeng,42,50000.0
Patrick Ochs,40,200000.0
Patrick Owomoyela,45,200000.0
Marjan Petkovic,45,200000.0
Michael Rensing,40,300000.0
Mahir Saglik,41,50000.0
Bastian Schweinsteiger,40,1000000.0
Thorsten Stuckmann,43,100000.0
Elyasa Süme,41,25000.0
